mean_x,mean_y,mean_z,std_x,std_y,std_z,R,log_rmsW,rX_ratio,rY_ratio,rZ_ratio,psi,elev_normalized,elev_sin,elev_cos,is_synthetic,time_s,azimuth_deg,az_sector,elev_class,psi_cls
0.218234,-0.107837,0.065001,0.636198,0.533797,0.496823,0.251953,0.110848,0.941498,0.32919,0.083913,0.748047,0.0,0.0,1.0,1.0,0.191333,-0.80422,11.0,2,0
0.21661,-0.151959,0.02572,0.600452,0.55742,0.508003,0.265843,0.104499,0.676732,0.733409,0.081244,0.734157,0.0,0.0,1.0,1.0,0.981333,-21.88158,11.0,2,0
0.139476,-0.193484,0.076877,0.577549,0.581492,0.51527,0.250599,0.088189,0.459748,0.886152,0.104084,0.749401,0.0,0.0,1.0,1.0,1.781333,-43.432578,10.0,2,0
-0.005542,-0.205875,0.108034,0.56139,0.608654,0.510191,0.232566,0.08753,0.394464,0.915713,0.111956,0.767434,0.0,0.0,1.0,1.0,2.591333,-66.586205,9.0,2,0
-0.083662,-0.216308,0.096979,0.573621,0.604711,0.492026,0.251383,0.096336,0.624469,0.777014,0.099732,0.748617,0.0,0.0,1.0,1.0,3.401333,-90.796897,8.0,2,0
-0.111882,-0.182367,0.061993,0.614029,0.56566,0.503367,0.222752,0.111365,0.757761,0.650965,0.087185,0.777248,0.0,0.0,1.0,1.0,4.191333,-113.899334,8.0,2,0
-0.213438,-0.105677,0.081138,0.634285,0.524419,0.509274,0.251608,0.101148,0.836719,0.547583,0.097093,0.748392,0.0,0.0,1.0,1.0,4.991333,-135.673316,7.0,2,0
-0.154697,-0.043665,0.071537,0.528323,0.372312,0.394508,0.175941,0.068283,0.939301,0.347659,0.104119,0.824059,0.0,0.0,1.0,1.0,5.791333,-156.825306,6.0,2,1
-0.06972,-0.026744,0.024052,0.340921,0.192185,0.212171,0.078451,0.028814,0.996944,0.112778,0.120564,0.921549,0.0,0.0,1.0,1.0,6.591333,-178.411319,6.0,2,2
