mean_x,mean_y,mean_z,std_x,std_y,std_z,R,log_rmsW,rX_ratio,rY_ratio,rZ_ratio,psi,elev_normalized,elev_sin,elev_cos,is_synthetic,time_s,azimuth_deg,az_sector,elev_class,psi_cls
0.064504,-0.085079,0.071124,0.678169,0.549171,0.4712,0.128288,0.072986,0.523898,0.368029,0.332779,0.871712,0.833333,0.965926,0.258819,0.0,0.351333,52.532896,1.0,2,2
0.00724,-0.018393,0.078583,0.668113,0.565588,0.476611,0.081031,0.073836,0.533421,0.272641,0.324642,0.918969,0.833333,0.965926,0.258819,0.0,1.121333,0.759203,0.0,2,2
0.032199,-0.032887,0.112417,0.659099,0.572787,0.47195,0.121473,0.058994,0.615853,0.313635,0.330696,0.878527,0.833333,0.965926,0.258819,0.0,1.931333,-62.028388,9.0,2,2
0.063512,-0.007862,0.075541,0.653829,0.571721,0.485633,0.099005,0.052528,0.641444,0.447791,0.376103,0.900995,0.833333,0.965926,0.258819,0.0,2.711333,-154.648491,6.0,2,2
0.080638,-0.03899,0.028689,0.640315,0.561424,0.515706,0.094052,0.048796,0.6854,0.680422,0.594363,0.905948,0.833333,0.965926,0.258819,0.0,3.541333,-69.88389,9.0,2,2
0.051819,-0.019709,0.031212,0.621179,0.557471,0.547097,0.063623,0.059601,0.687873,0.549863,0.524798,0.936377,0.833333,0.965926,0.258819,0.0,4.301333,-91.475633,8.0,2,2
-0.041046,-0.00974,0.068579,0.644353,0.51911,0.555743,0.080515,0.05938,0.71425,0.477821,0.452948,0.919485,0.833333,0.965926,0.258819,0.0,5.081333,-132.82196,7.0,2,2
-0.096812,0.028261,0.120178,0.661784,0.498646,0.450313,0.156888,0.04315,0.638028,0.274234,0.302214,0.843112,0.833333,0.965926,0.258819,0.0,5.931333,-33.552548,10.0,2,1
-0.062559,0.053481,0.093122,0.531314,0.350474,0.313737,0.12428,0.022341,0.828011,0.180907,0.259437,0.87572,0.833333,0.965926,0.258819,0.0,6.721333,-174.750598,6.0,2,2
