mean_x,mean_y,mean_z,std_x,std_y,std_z,R,log_rmsW,rX_ratio,rY_ratio,rZ_ratio,psi,elev_normalized,elev_sin,elev_cos,is_synthetic,time_s,azimuth_deg,az_sector,elev_class,psi_cls
0.131777,-0.088608,-0.040968,0.633638,0.641772,0.39967,0.163997,0.074229,0.659937,0.357976,0.221693,0.836003,0.0,0.0,1.0,0.0,0.211333,-2.18441,11.0,0,1
0.06438,-0.058517,-0.068574,0.626156,0.644316,0.424868,0.110777,0.046342,1.018441,0.969243,0.453477,0.889223,0.0,0.0,1.0,0.0,1.001333,-18.407543,11.0,0,2
0.024899,-0.071334,-0.029399,0.648752,0.604872,0.454618,0.081073,0.034421,1.118632,1.183319,0.529449,0.918927,0.0,0.0,1.0,0.0,1.911333,-11.10822,11.0,0,2
-0.031229,-0.069112,-0.021786,0.648021,0.59591,0.46769,0.078907,0.039482,0.697549,0.776944,0.327964,0.921093,0.0,0.0,1.0,0.0,2.651333,-81.110426,9.0,0,2
-0.015423,-0.088447,-0.086442,0.625073,0.623434,0.452847,0.124631,0.045531,0.549429,0.667717,0.522605,0.875369,0.0,0.0,1.0,0.0,4.231333,-102.662075,8.0,0,2
-0.040474,-0.067096,-0.081683,0.647056,0.600415,0.456067,0.11319,0.05115,0.577888,0.453572,0.441452,0.88681,0.0,0.0,1.0,0.0,5.061333,-94.064119,8.0,0,2
-0.043901,-0.088257,-0.044045,0.545723,0.505102,0.36834,0.107965,0.042838,0.574706,0.374148,0.361361,0.892035,0.0,0.0,1.0,0.0,5.861333,-99.709817,8.0,0,2
-0.031142,-0.070301,0.002757,0.388704,0.346117,0.231249,0.076939,0.032598,0.618719,0.274876,0.291157,0.923061,0.0,0.0,1.0,0.0,6.601333,-171.213299,6.0,1,2
