mean_x,mean_y,mean_z,std_x,std_y,std_z,R,log_rmsW,rX_ratio,rY_ratio,rZ_ratio,psi,elev_normalized,elev_sin,elev_cos,is_synthetic,time_s,azimuth_deg,az_sector,elev_class,psi_cls
-0.166039,-0.431704,0.0,0.260054,0.432655,0.0,0.462534,0.020237,0.429159,0.818154,0.0,0.537466,0.0,0.0,1.0,1.0,0.321333,-90.0,9.0,0,0
-0.337805,-0.293493,0.0,0.367004,0.334289,0.0,0.447494,0.021312,0.729361,0.567085,0.0,0.552506,0.0,0.0,1.0,1.0,1.181333,-112.500004,8.0,0,0
-0.484888,-0.178644,0.0,0.426883,0.25409,0.0,0.51675,0.026117,0.863848,0.327598,0.0,0.48325,0.0,0.0,1.0,1.0,1.921333,-135.000003,7.0,0,0
-0.531961,-0.013526,0.0,0.43379,0.218728,0.0,0.532132,0.026754,0.887511,0.256665,0.0,0.467868,0.0,0.0,1.0,1.0,2.721333,-157.499999,6.0,0,0
-0.453366,0.168198,0.0,0.425239,0.260816,0.0,0.483562,0.025667,0.839847,0.384982,0.0,0.516438,0.0,0.0,1.0,1.0,3.521333,180.0,6.0,0,0
-0.29424,0.304841,0.0,0.344692,0.36001,0.0,0.423681,0.021157,0.631393,0.67446,0.0,0.576319,0.0,0.0,1.0,1.0,4.351333,157.499997,5.0,0,0
-0.159251,0.412591,0.0,0.255182,0.428182,0.0,0.442258,0.02171,0.411181,0.827335,0.0,0.557742,0.0,0.0,1.0,1.0,5.131333,134.999997,4.0,0,0
-0.054759,0.304565,0.0,0.131992,0.427117,0.0,0.309449,0.017427,0.229778,0.894849,0.0,0.690551,0.0,0.0,1.0,1.0,5.931333,112.499997,3.0,0,0
0.0,0.164126,0.0,0.0,0.349452,0.0,0.164126,0.012487,0.0,0.92388,0.0,0.835874,0.0,0.0,1.0,1.0,6.721333,90.0,3.0,0,1
