mean_x,mean_y,mean_z,std_x,std_y,std_z,R,log_rmsW,rX_ratio,rY_ratio,rZ_ratio,psi,elev_normalized,elev_sin,elev_cos,is_synthetic,time_s,azimuth_deg,az_sector,elev_class,psi_cls
-0.104347,-0.049662,0.109446,0.609977,0.581676,0.51405,0.159163,0.046406,0.635902,0.510501,0.379942,0.840837,0.833333,0.965926,0.258819,0.0,0.431333,-9.815016,11.0,2,1
-0.151147,-0.043424,0.099178,0.592897,0.544889,0.56303,0.185923,0.042846,0.707887,0.557478,0.434859,0.814077,0.833333,0.965926,0.258819,0.0,1.231333,146.322348,4.0,2,1
-0.030844,0.004158,0.131265,0.589698,0.532453,0.592072,0.134905,0.031655,0.743902,0.667432,0.523836,0.865095,0.833333,0.965926,0.258819,0.0,2.021333,126.939034,4.0,2,2
0.040319,0.010589,0.067837,0.621701,0.559688,0.542123,0.079621,0.028508,0.587438,0.76458,0.459104,0.920379,0.833333,0.965926,0.258819,0.0,2.831333,148.174598,4.0,2,2
0.066417,0.018825,0.047626,0.625958,0.58938,0.503759,0.083867,0.030373,0.425104,0.666958,0.421291,0.916133,0.833333,0.965926,0.258819,0.0,3.631333,97.38585,3.0,2,2
0.047076,0.053127,0.051839,0.486816,0.4763,0.443897,0.087897,0.024932,0.432625,0.586576,0.446501,0.912103,0.833333,0.965926,0.258819,0.0,4.421333,55.989893,1.0,2,2
0.002338,0.004197,0.03295,0.273885,0.300273,0.30387,0.033299,0.014569,0.383054,0.275699,0.321338,0.966701,0.833333,0.965926,0.258819,0.0,5.241333,92.827274,3.0,2,2
