mean_x,mean_y,mean_z,std_x,std_y,std_z,R,log_rmsW,rX_ratio,rY_ratio,rZ_ratio,psi,elev_normalized,elev_sin,elev_cos,is_synthetic,time_s,azimuth_deg,az_sector,elev_class,psi_cls
0.014093,-0.036457,0.191521,0.612117,0.586429,0.493158,0.195469,0.061116,0.51737,0.491992,0.47195,0.804531,0.833333,0.965926,0.258819,0.0,0.351333,33.785889,1.0,2,1
0.01878,-0.02724,0.087203,0.644328,0.567005,0.504616,0.093269,0.059619,0.747662,0.591733,0.568866,0.906731,0.833333,0.965926,0.258819,0.0,1.131333,-45.921092,10.0,2,2
0.06194,-0.062817,0.026344,0.651931,0.560884,0.501893,0.092068,0.058301,0.74857,0.600953,0.56586,0.907932,0.833333,0.965926,0.258819,0.0,1.881333,-28.573625,11.0,2,2
0.058246,-0.021003,-0.024291,0.67588,0.579749,0.450136,0.066511,0.052179,0.783093,0.648831,0.56039,0.933489,0.833333,0.965926,0.258819,0.0,2.681333,-52.731022,10.0,0,2
-0.011267,-0.011328,0.02398,0.682961,0.583564,0.43838,0.028815,0.049448,0.682528,0.540294,0.450268,0.971185,0.833333,0.965926,0.258819,0.0,3.541333,-64.604019,9.0,2,2
-0.187112,0.021002,0.028791,0.691866,0.54647,0.431741,0.190476,0.069304,0.717863,0.394913,0.350176,0.809524,0.833333,0.965926,0.258819,0.0,4.301333,-96.053311,8.0,2,1
-0.203669,0.014723,0.056804,0.710381,0.515178,0.430145,0.211954,0.075181,0.692625,0.292992,0.297673,0.788046,0.833333,0.965926,0.258819,0.0,5.111333,-115.169652,8.0,2,1
-0.158761,0.035871,0.039691,0.615348,0.407419,0.301797,0.167532,0.059828,0.677966,0.213194,0.205942,0.832468,0.833333,0.965926,0.258819,0.0,5.931333,-173.719926,6.0,2,1
-0.064445,0.000675,0.027745,0.399519,0.236055,0.220295,0.070167,0.035154,0.655051,0.155261,0.294435,0.929833,0.833333,0.965926,0.258819,0.0,6.721333,-176.084086,6.0,2,2
