mean_x,mean_y,mean_z,std_x,std_y,std_z,R,log_rmsW,rX_ratio,rY_ratio,rZ_ratio,psi,elev_normalized,elev_sin,elev_cos,is_synthetic,time_s,azimuth_deg,az_sector,elev_class,psi_cls
-0.05022,0.060437,-0.023869,0.544276,0.658865,0.512635,0.082124,0.017803,0.706563,0.743708,0.523543,0.917876,0.444444,0.642788,0.766044,0.0,0.651333,177.748642,5.0,0,2
-0.01363,0.132746,-0.033408,0.51356,0.697719,0.480009,0.137562,0.025617,0.497864,0.760004,0.482466,0.862438,0.444444,0.642788,0.766044,0.0,1.461333,144.613354,4.0,0,2
0.026269,0.105935,-0.022076,0.530746,0.67342,0.502282,0.111353,0.026316,0.495728,0.776053,0.48858,0.888647,0.444444,0.642788,0.766044,0.0,2.241333,117.224438,3.0,0,2
0.016889,0.067556,7.4e-05,0.550607,0.643303,0.527314,0.069635,0.023704,0.552348,0.761508,0.511504,0.930365,0.444444,0.642788,0.766044,0.0,3.111333,109.985912,3.0,1,2
0.057294,0.006581,-0.009366,0.577645,0.609101,0.540225,0.058426,0.015164,0.992397,0.969468,0.78543,0.941574,0.444444,0.642788,0.766044,0.0,3.891333,49.307029,1.0,0,2
0.045298,-0.02105,-0.014071,0.548494,0.613019,0.500018,0.051894,0.011712,1.163471,1.025925,0.892609,0.948106,0.444444,0.642788,0.766044,0.0,4.651333,54.743202,1.0,0,2
0.038331,-0.026777,-0.017246,0.404279,0.456163,0.354079,0.049836,0.006373,1.295874,0.842705,0.815742,0.950164,0.444444,0.642788,0.766044,0.0,5.511333,23.888237,0.0,0,2
