mean_x,mean_y,mean_z,std_x,std_y,std_z,R,log_rmsW,rX_ratio,rY_ratio,rZ_ratio,psi,elev_normalized,elev_sin,elev_cos,is_synthetic,time_s,azimuth_deg,az_sector,elev_class,psi_cls
-0.122043,0.16133,0.031848,0.61109,0.570968,0.508545,0.204783,0.06977,0.597355,0.773954,0.128332,0.795217,0.0,0.0,1.0,1.0,0.411333,157.749999,5.0,0,1
-0.021119,0.177099,0.051584,0.576859,0.631621,0.483546,0.185664,0.07003,0.492387,0.845659,0.130974,0.814336,0.0,0.0,1.0,1.0,1.221333,134.026589,4.0,0,1
0.051631,0.147758,0.008461,0.581037,0.629478,0.491511,0.156748,0.054742,0.345823,0.929542,0.131201,0.843252,0.0,0.0,1.0,1.0,1.571333,-161.305024,6.0,0,1
0.118511,0.14767,0.027014,0.561983,0.643332,0.483444,0.191262,0.058743,0.349663,0.934322,0.125453,0.808738,0.0,0.0,1.0,1.0,2.021333,111.837176,3.0,0,1
0.128461,0.062599,0.033751,0.571094,0.644542,0.48668,0.146834,0.044546,0.322446,0.943551,0.14965,0.853166,0.0,0.0,1.0,1.0,2.301333,20.137745,0.0,0,2
0.16076,0.124529,0.053619,0.562289,0.637661,0.482693,0.2103,0.049352,0.465354,0.889958,0.12438,0.7897,0.0,0.0,1.0,1.0,2.811333,91.582484,3.0,0,1
0.147047,0.092108,0.072465,0.590755,0.616781,0.484996,0.188037,0.046355,0.680933,0.743976,0.123245,0.811963,0.0,0.0,1.0,1.0,3.611333,68.461774,2.0,0,1
0.11985,0.07817,0.041689,0.499184,0.475092,0.414986,0.149038,0.035001,0.82076,0.576829,0.125632,0.850962,0.0,0.0,1.0,1.0,4.411333,44.585304,1.0,0,2
0.048457,0.036624,0.008744,0.326618,0.277932,0.28573,0.061367,0.021479,0.906877,0.394083,0.139965,0.938633,0.0,0.0,1.0,1.0,5.211333,22.273724,0.0,0,2
