mean_x,mean_y,mean_z,std_x,std_y,std_z,R,log_rmsW,rX_ratio,rY_ratio,rZ_ratio,psi,elev_normalized,elev_sin,elev_cos,is_synthetic,time_s,azimuth_deg,az_sector,elev_class,psi_cls
-0.156487,0.01702,0.049998,0.580794,0.582335,0.544148,0.16516,0.022507,0.817095,0.801323,0.469456,0.83484,0.0,0.0,1.0,0.0,1.141333,-169.80112,6.0,2,1
-0.1498,0.057183,0.034958,0.578676,0.6103,0.515312,0.164109,0.024,0.782864,0.973961,0.385288,0.835891,0.0,0.0,1.0,0.0,1.861333,146.337597,4.0,2,1
-0.09211,0.067541,0.01116,0.58038,0.620837,0.514144,0.114763,0.022221,0.709511,1.03668,0.408995,0.885237,0.0,0.0,1.0,0.0,2.661333,128.00285,4.0,1,2
-0.034847,0.03488,0.009015,0.581029,0.599711,0.547778,0.050122,0.016948,0.815562,1.157442,0.78662,0.949878,0.0,0.0,1.0,0.0,3.501333,108.07424,3.0,1,2
0.015364,-0.003895,0.010033,0.567666,0.582775,0.581062,0.018758,0.012022,1.30722,1.445335,1.480543,0.981242,0.0,0.0,1.0,0.0,4.301333,97.818177,3.0,1,2
0.014057,-0.017949,-0.004661,0.555745,0.559708,0.561617,0.023269,0.009699,1.41095,1.413378,1.561162,0.976731,0.0,0.0,1.0,0.0,5.131333,56.314153,1.0,1,2
0.001825,-0.008501,-0.009698,0.417711,0.419199,0.415643,0.013025,0.005148,1.3278,1.285233,1.376523,0.986975,0.0,0.0,1.0,0.0,5.961333,27.047706,0.0,0,2
