mean_x,mean_y,mean_z,std_x,std_y,std_z,R,log_rmsW,rX_ratio,rY_ratio,rZ_ratio,psi,elev_normalized,elev_sin,elev_cos,is_synthetic,time_s,azimuth_deg,az_sector,elev_class,psi_cls
-0.08613,-0.105392,0.216698,0.611513,0.63213,0.401209,0.255898,0.025832,0.657269,0.655734,0.317995,0.744102,0.0,0.0,1.0,0.0,0.241333,169.849064,5.0,2,0
-0.028069,-0.006244,0.150821,0.625683,0.63008,0.433527,0.153538,0.026818,0.496394,0.708932,0.356,0.846462,0.0,0.0,1.0,0.0,1.061333,144.000669,4.0,2,2
0.088753,0.030175,0.067848,0.619548,0.6374,0.443272,0.115719,0.03768,0.417672,0.750136,0.291125,0.884281,0.0,0.0,1.0,0.0,1.761333,118.228947,3.0,2,2
0.094936,0.017933,0.06726,0.607844,0.635135,0.461811,0.117721,0.053395,0.329142,0.51116,0.232303,0.882279,0.0,0.0,1.0,0.0,2.581333,91.518798,3.0,2,2
0.182642,-0.130312,0.084385,0.621685,0.620421,0.413673,0.239709,0.057433,0.415263,0.35439,0.20161,0.760291,0.0,0.0,1.0,0.0,3.441333,73.131366,2.0,2,0
0.15885,-0.161078,0.002114,0.545204,0.542234,0.349066,0.226238,0.046393,0.424239,0.250765,0.202326,0.773762,0.0,0.0,1.0,0.0,4.231333,31.200303,1.0,1,0
0.064118,-0.08789,0.006352,0.401199,0.387555,0.247506,0.108978,0.027546,0.447755,0.231035,0.209666,0.891022,0.0,0.0,1.0,0.0,4.991333,16.093669,0.0,1,2
