mean_x,mean_y,mean_z,std_x,std_y,std_z,R,log_rmsW,rX_ratio,rY_ratio,rZ_ratio,psi,elev_normalized,elev_sin,elev_cos,is_synthetic,time_s,azimuth_deg,az_sector,elev_class,psi_cls
0.350352,0.363686,0.0,0.347778,0.353134,0.0,0.504989,0.026408,0.673259,0.632673,0.0,0.495011,0.0,0.0,1.0,1.0,0.551333,67.499997,2.0,0,0
0.420844,0.1744,0.0,0.429955,0.257388,0.0,0.455549,0.023936,0.834412,0.396624,0.0,0.544451,0.0,0.0,1.0,1.0,1.351333,44.999998,1.0,0,0
0.424797,-0.005579,0.0,0.452711,0.201217,0.0,0.424834,0.021686,0.875911,0.293824,0.0,0.575167,0.0,0.0,1.0,1.0,2.201333,22.499997,0.0,0,0
0.400524,-0.169812,0.0,0.429721,0.260091,0.0,0.435035,0.02158,0.795188,0.470351,0.0,0.564965,0.0,0.0,1.0,1.0,2.941333,0.0,0.0,0,0
0.318012,-0.333776,0.0,0.346486,0.356721,0.0,0.461019,0.021539,0.65102,0.655535,0.0,0.538981,0.0,0.0,1.0,1.0,3.741333,-22.500007,11.0,0,0
0.177723,-0.277985,0.0,0.255744,0.37234,0.0,0.32994,0.017834,0.545749,0.74546,0.0,0.67006,0.0,0.0,1.0,1.0,4.541333,-45.000003,10.0,0,0
0.069069,-0.167069,0.0,0.138645,0.334722,0.0,0.180783,0.01119,0.353554,0.853552,0.0,0.819217,0.0,0.0,1.0,1.0,5.341333,-67.500002,9.0,0,1
