mean_x,mean_y,mean_z,std_x,std_y,std_z,R,log_rmsW,rX_ratio,rY_ratio,rZ_ratio,psi,elev_normalized,elev_sin,elev_cos,is_synthetic,time_s,azimuth_deg,az_sector,elev_class,psi_cls
-0.127455,0.076495,0.000464,0.571852,0.59602,0.543615,0.148649,0.025175,0.647051,0.733452,0.416994,0.851351,0.0,0.0,1.0,0.0,0.781333,175.046692,5.0,1,2
-0.098438,0.108067,-0.000216,0.558733,0.61703,0.534402,0.14618,0.023266,0.62605,1.054013,0.477182,0.85382,0.0,0.0,1.0,0.0,1.581333,130.674174,4.0,1,2
-0.069539,0.095925,0.006117,0.545617,0.626686,0.54348,0.118637,0.021981,0.650999,1.22964,0.634895,0.881363,0.0,0.0,1.0,0.0,2.341333,125.762668,4.0,1,2
-0.021198,0.091697,-0.019609,0.557549,0.611784,0.552725,0.096136,0.020453,0.636368,1.249655,0.696694,0.903864,0.0,0.0,1.0,0.0,3.121333,109.367282,3.0,0,2
0.070562,0.095636,-0.013266,0.594251,0.571545,0.552958,0.119587,0.016264,1.067199,0.912374,0.727332,0.880413,0.0,0.0,1.0,0.0,4.021333,79.166616,2.0,0,2
0.083772,0.092107,-0.021723,0.554567,0.5507,0.506936,0.126386,0.01351,1.206666,0.789623,0.693626,0.873614,0.0,0.0,1.0,0.0,4.741333,55.003747,1.0,0,2
0.069618,0.048964,0.006371,0.431279,0.4074,0.366834,0.085351,0.009516,1.590964,0.748233,0.735121,0.914649,0.0,0.0,1.0,0.0,5.521333,31.257018,1.0,1,2
